FR EN
"S'il te plaît" "Please"
"Salut !" "Hi!"
"Bonjour" "Good morning"
"Pardon" "Excuse me"
"Merci" "Thank you"
"Au revoir" "Good bye"
"Il y a un garçon" "There is a boy"
"D'accord" "Alright, OK"
"Ça va bien ?" "How are you?"
"Ça va bien" "I'm fine"
"Comment ça va ?" "How are you doing?"
"Bienvenue !" "Welcome!"
"Je suis d'accord" "I agree"
"À plus tard !" "See you later!"
"Désolé" "Sorry"
"De rien" "You're welcome"
"Bonne nuit !" "Good night!"
"Bonne chance !" "Good luck!"
"La robe est chaude" "The dress is warm"
"Tu manges la pomme chaude" "Translation:You eat the warm apple"
"Merci beaucoup !" "Thank you very much!"
"Bonsoir !" "Good evening!"
"Je suis désolé" "I'm sorry"
"À bientôt !" "See you soon"
"Excusez-moi !" "Excuse me!"
"Regardez-moi !" "Look at me!"
"Parle-moi !" "Talk to me!"
"Je mange la baguette" "I'm eating the baguette"
"Tu manges le bœuf" "You are eating the beef"
"J'aime la soupe" "I like/love the soup"
"Ils mangent une fraise" "They eat a strawberry"
"Nous mangeons un sandwich" ""
"La viande rouge, the red meat" ""
"Qu'est-ce que vous faites ?" ""
"Un homme mange un œuf" ""
"Je bois de l'eau" ""
"Je bois du lait / café" ""
"Je suis du Pologne/Canada" ""
"Il a du café" ""
"Elle préfère la viande blanche à la viande rouge" ""
"Tu me manques" ""
"J'aime manger une pomme" "I like to eat an apple." 
"J'aime manger du pain et boire du lait." ""
"Sel et poivre" "Salt and pepper"
"" "Day and night"
"Il cuisine un poulet" "She cooks an chicken"
"Pousse-toi" ""
"Je suis heureux" "I'am happy"
"Cordialement" "Best regards"
"Génial" "Awesome"
"Arrêt" "Stop"
"Je t'aime" "I love you"
"Je t'embrasse" "I hug you"
"Il cuisine la viande avec de l'huile" "He is cooking the meat with oil"
"À demain !" "See you tomorrow!"
"L'eau est noire" "The water is black"
"Le journal est nouveau" "The journal is new"
"Une petite chienne" ""
"La bière est nouvelle" ""
"Vous êtes jeunes" "You are young"
"Vous êtes grandes (f)" "You are tall"
"Je meurs de faim" "I'm starving"
"Je ne suis pas seul" ""
"J'apprends le français" "I'm learning French"
"Qu'est-ce que vous ne vous souciez" ""
"Je suis seul" "I am lonely"
"Si jamais j'oublie" "If I forget"
"Je l'espère" "I hope so"
"Je suis enthousiaste" "I am thrilled"
"Si un jour tu tombes, saches que je serais là !" 
"À votre santé !" "d"
"Il y à longtemps que je t'aime" ""
"Je suis la" ""
"Allez !" "Go ahead!"
"Tu as un joli canard" "You have a pretty duck" ""
"C'est un gâteau" "It is a cake"
"J'ai chaud" "I am hot"
"Ils ont un journal" "They have a newspaper"
"Ce sont des hommes" "They are men"
"Elles ont du vin" "They have wine"
"Tu as du vin et il a du lait" "You have wine and he has milk"
"C'est une abeille" "It is a bee"
"Les poches des vêtements" "The clothing's pockets"
"Les chaussures des femmes" ""
# « Et si la terre est sombre /
# Et si la pluie te noie /
# Raconte-moi qu'on puisse trembler ensemble »
#######################################################################################
